c Problem line (nodes, links)
p max 20 64
c source
n 1 s
c sink
n 2 t
c Arc descriptor lines (from, to, capacity)
a 1 15 1
a 15 1 1
a 1 18 1
a 18 1 1
a 1 20 1
a 20 1 1
a 2 3 1
a 3 2 1
a 2 4 1
a 4 2 1
a 2 7 1
a 7 2 1
a 3 5 1
a 5 3 1
a 3 6 1
a 6 3 1
a 4 8 1
a 8 4 1
a 4 9 1
a 9 4 1
a 5 6 1
a 6 5 1
a 5 12 1
a 12 5 1
a 6 7 1
a 7 6 1
a 7 8 1
a 8 7 1
a 8 10 1
a 10 8 1
a 9 10 1
a 10 9 1
a 9 11 1
a 11 9 1
a 9 13 1
a 13 9 1
a 10 11 1
a 11 10 1
a 10 12 1
a 12 10 1
a 11 20 1
a 20 11 1
a 12 14 1
a 14 12 1
a 13 15 1
a 15 13 1
a 13 19 1
a 19 13 1
a 14 16 1
a 16 14 1
a 14 18 1
a 18 14 1
a 15 16 1
a 16 15 1
a 15 19 1
a 19 15 1
a 16 17 1
a 17 16 1
a 17 19 1
a 19 17 1
a 17 20 1
a 20 17 1
a 18 20 1
a 20 18 1
c
c End of file
