c Problem line (nodes, links)
p max 32 156
c source
n 1 s
c sink
n 2 t
c Arc descriptor lines (from, to, capacity)

a 23 3 1
a 3 23 1
a 4 5 1
a 5 4 1
a 8 11 1
a 11 8 1
a 15 18 1
a 18 15 1
a 19 21 1
a 21 19 1
a 22 1 1
a 1 22 1
a 25 28 1
a 28 25 1
a 27 31 1
a 31 27 1
a 32 29 1
a 29 32 1


a 1 2 1
a 2 1 1
a 1 5 1
a 5 1 1
a 1 9 1
a 9 1 1
a 1 11 1
a 11 1 1
a 2 3 1
a 3 2 1
a 2 6 1
a 6 2 1
a 2 7 1
a 7 2 1
a 2 10 1
a 10 2 1
a 3 4 1
a 4 3 1
a 3 7 1
a 7 3 1
a 3 6 1
a 6 3 1
a 4 6 1
a 6 4 1
a 5 7 1
a 7 5 1
a 19 20 1
a 20 19 1
a 25 24 1
a 24 25 1
a 28 30 1
a 30 28 1
a 31 29 1
a 29 31 1
a 32 30 1
a 30 32 1

a 4 7 1
a 7 4 1
a 4 8 1
a 8 4 1
a 5 6 1
a 6 5 1
a 5 9 1
a 9 5 1
a 6 10 1
a 10 6 1
a 6 13 1
a 13 6 1
a 7 8 1
a 8 7 1
a 7 10 1
a 10 7 1
a 7 12 1
a 12 7 1
a 7 13 1
a 13 7 1
a 8 12 1
a 12 8 1
a 8 15 1
a 15 8 1
a 9 10 1
a 10 9 1
a 9 11 1
a 11 9 1
a 9 13 1
a 13 9 1
a 10 12 1
a 12 10 1
a 10 13 1
a 13 10 1
a 10 14 1
a 14 10 1
a 11 13 1
a 13 11 1
a 11 21 1
a 21 11 1
a 12 14 1
a 14 12 1
a 12 15 1
a 15 12 1
a 13 14 1
a 14 13 1
a 13 17 1
a 17 13 1
a 13 20 1
a 20 13 1
a 14 16 1
a 16 14 1
a 14 17 1
a 17 14 1
a 15 16 1
a 16 15 1
a 15 19 1
a 19 15 1
a 16 17 1
a 17 16 1
a 16 18 1
a 18 16 1
a 16 20 1
a 20 16 1
a 17 20 1
a 20 17 1
a 17 21 1
a 21 17 1
a 18 19 1
a 19 18 1
a 18 20 1
a 20 18 1
a 18 22 1
a 22 18 1
a 19 23 1
a 23 19 1
a 20 21 1
a 21 20 1
a 20 22 1
a 22 20 1
a 21 25 1
a 25 21 1
a 22 23 1
a 23 22 1
a 22 24 1
a 24 22 1
a 22 26 1
a 26 22 1
a 22 32 1
a 32 22 1
a 23 24 1
a 24 23 1
a 23 27 1
a 27 23 1
a 24 27 1
a 27 24 1
a 24 28 1
a 28 24 1
a 25 32 1
a 32 25 1

a 25 26 1
a 26 25 1

a 26 29 1
a 29 26 1
a 26 30 1
a 30 26 1
a 26 31 1
a 31 26 1
a 27 28 1
a 28 27 1
a 27 29 1
a 29 27 1
a 28 29 1
a 29 28 1
a 29 30 1
a 30 29 1
a 30 31 1
a 31 30 1
a 31 32 1
a 32 31 1
c
c End of file
