c Problem line (nodes, links)
p max 46 536
c source
n 1 s
c sink
n 2 t
c Arc descriptor lines (from, to, capacity)
a 8 4 1
a 4 8 1
a 17 10 1
a 10 17 1
a 44 4 1
a 4 44 1
a 18 21 1
a 21 18 1
a 8 26 1
a 26 8 1
a 21 8 1
a 8 21 1
a 19 20 1
a 20 19 1
a 44 26 1
a 26 44 1
a 9 6 1
a 6 9 1
a 37 9 1
a 9 37 1
a 11 8 1
a 8 11 1
a 35 9 1
a 9 35 1
a 12 23 1
a 23 12 1
a 42 3 1
a 3 42 1
a 13 18 1
a 18 13 1
a 15 44 1
a 44 15 1
a 30 18 1
a 18 30 1
a 4 3 1
a 3 4 1
a 8 38 1
a 38 8 1
a 29 11 1
a 11 29 1
a 30 12 1
a 12 30 1
a 4 41 1
a 41 4 1
a 31 17 1
a 17 31 1
a 18 14 1
a 14 18 1
a 8 23 1
a 23 8 1
a 45 4 1
a 4 45 1
a 17 39 1
a 39 17 1
a 11 37 1
a 37 11 1
a 44 31 1
a 31 44 1
a 9 13 1
a 13 9 1
a 33 26 1
a 26 33 1
a 12 42 1
a 42 12 1
a 11 15 1
a 15 11 1
a 12 16 1
a 16 12 1
a 15 9 1
a 9 15 1
a 26 17 1
a 17 26 1
a 38 17 1
a 17 38 1
a 3 19 1
a 19 3 1
a 4 12 1
a 12 4 1
a 16 44 1
a 44 16 1
a 4 18 1
a 18 4 1
a 17 8 1
a 8 17 1
a 18 7 1
a 7 18 1
a 8 16 1
a 16 8 1
a 6 44 1
a 44 6 1
a 17 30 1
a 30 17 1
a 22 9 1
a 9 22 1
a 44 24 1
a 24 44 1
a 18 25 1
a 25 18 1
a 42 44 1
a 44 42 1
a 11 10 1
a 10 11 1
a 44 46 1
a 46 44 1
a 9 26 1
a 26 9 1
a 12 5 1
a 5 12 1
a 13 8 1
a 8 13 1
a 16 11 1
a 11 16 1
a 12 27 1
a 27 12 1
a 2 1 1
a 1 2 1
a 6 11 1
a 11 6 1
a 28 44 1
a 44 28 1
a 17 21 1
a 21 17 1
a 22 18 1
a 18 22 1
a 44 13 1
a 13 44 1
a 8 35 1
a 35 8 1
a 44 35 1
a 35 44 1
a 18 44 1
a 44 18 1
