c Problem line (nodes, links)
p max 16 64
c source
n 1 s
c sink
n 2 t
c Arc descriptor lines (from, to, capacity)
a 1 2 1
a 2 1 1
a 1 4 1
a 4 1 1
a 1 5 1
a 5 1 1
a 1 13 1
a 13 1 1
a 2 3 1
a 3 2 1
a 2 6 1
a 6 2 1
a 2 14 1
a 14 2 1
a 3 4 1
a 4 3 1
a 3 7 1
a 7 3 1
a 3 15 1
a 15 3 1
a 4 8 1
a 8 4 1
a 4 16 1
a 16 4 1
a 5 6 1
a 6 5 1
a 5 8 1
a 8 5 1
a 5 9 1
a 9 5 1
a 6 7 1
a 7 6 1
a 6 10 1
a 10 6 1
a 7 8 1
a 8 7 1
a 7 11 1
a 11 7 1
a 8 12 1
a 12 8 1
a 9 10 1
a 10 9 1
a 9 12 1
a 12 9 1
a 9 13 1
a 13 9 1
a 10 11 1
a 11 10 1
a 10 14 1
a 14 10 1
a 11 12 1
a 12 11 1
a 11 15 1
a 15 11 1
a 12 16 1
a 16 12 1
a 13 14 1
a 14 13 1
a 13 16 1
a 16 13 1
a 14 15 1
a 15 14 1
a 15 16 1
a 16 15 1
c
c End of file
