c Problem line (nodes, links)
p max 28 84
c source
n 1 s
c sink
n 2 t
c Arc descriptor lines (from, to, capacity)
a 1 2 1
a 2 1 1
a 1 3 1
a 3 1 1
a 1 28 1
a 28 1 1
a 2 3 1
a 3 2 1
a 2 4 1
a 4 2 1
a 3 7 1
a 7 3 1
a 4 5 1
a 5 4 1
a 4 6 1
a 6 4 1
a 5 6 1
a 6 5 1
a 5 10 1
a 10 5 1
a 6 8 1
a 8 6 1
a 7 8 1
a 8 7 1
a 7 9 1
a 9 7 1
a 8 9 1
a 9 8 1
a 9 19 1
a 19 9 1
a 10 11 1
a 11 10 1
a 10 12 1
a 12 10 1
a 11 12 1
a 12 11 1
a 11 13 1
a 13 11 1
a 12 16 1
a 16 12 1
a 13 14 1
a 14 13 1
a 13 15 1
a 15 13 1
a 14 15 1
a 15 14 1
a 14 28 1
a 28 14 1
a 15 17 1
a 17 15 1
a 16 17 1
a 17 16 1
a 16 18 1
a 18 16 1
a 17 18 1
a 18 17 1
a 18 23 1
a 23 18 1
a 19 20 1
a 20 19 1
a 19 21 1
a 21 19 1
a 20 21 1
a 21 20 1
a 20 22 1
a 22 20 1
a 21 25 1
a 25 21 1
a 22 23 1
a 23 22 1
a 22 24 1
a 24 22 1
a 23 24 1
a 24 23 1
a 24 26 1
a 26 24 1
a 25 26 1
a 26 25 1
a 25 27 1
a 27 25 1
a 26 27 1
a 27 26 1
a 27 28 1
a 28 27 1
c
c End of file
