c Problem line (nodes, links)
p max 14 46
c source
n 1 s
c sink
n 2 t
c Arc descriptor lines (from, to, capacity)
a 1 2 1
a 2 1 1
a 1 3 1
a 3 1 1
a 1 4 1
a 4 1 1
a 1 8 1
a 8 1 1
a 2 3 1
a 3 2 1
a 2 4 1
a 4 2 1
a 3 6 1
a 6 3 1
a 4 5 1
a 5 4 1
a 4 9 1
a 9 4 1
a 5 6 1
a 6 5 1
a 5 7 1
a 7 5 1
a 6 10 1
a 10 6 1
a 6 13 1
a 13 6 1
a 7 8 1
a 8 7 1
a 8 11 1
a 11 8 1
a 9 12 1
a 12 9 1
a 9 14 1
a 14 9 1
a 10 11 1
a 11 10 1
a 11 12 1
a 12 11 1
a 11 14 1
a 14 11 1
a 12 13 1
a 13 12 1
a 13 14 1
a 14 13 1
a 7 10 1
a 10 7 1
c
c End of file
