c Problem line (nodes, links)
p max 29 148
c source
n 1 s
c sink
n 2 t
c Arc descriptor lines (from, to, capacity)

a 2 8 1
a 8 2 1
a 13 14 1
a 14 13 1
a 17 19 1
a 19 17 1
a 18 20 1
a 20 18 1
a 21 22 1
a 22 21 1
a 23 24 1
a 24 23 1 
a 26 27 1
a 27 26 1
a 28 29 1
a 29 28 1


a 13 18 1
a 18 13 1
a 19 20 1
a 20 19 1
a 21 28 1
a 28 21 1
a 22 23 1
a 23 22 1
a 15 5 1
a 5 15 1
a 14 5 1
a 5 14 1
a 20 5 1
a 5 20 1
a 19 5 1
a 5 19 1
a 25 5 1
a 5 25 1
a 2 7 1
a 7 2 1
a 3 6 1
a 6 3 1
a 9 6 1
a 6 9 1
a 5 1 1
a 1 5 1
a 29 6 1
a 6 29 1
a 11 9 1
a 9 11 1
a 9 25 1
a 25 9 1
a 17 4 1
a 4 17 1
a 20 4 1
a 4 20 1
a 16 5 1
a 5 16 1
a 21 5 1
a 5 21 1
a 9 16 1
a 16 9 1
a 23 4 1
a 4 23 1
a 5 11 1
a 11 5 1
a 4 3 1
a 3 4 1
a 5 6 1
a 6 5 1
a 4 24 1
a 24 4 1
a 6 25 1
a 25 6 1
a 5 17 1
a 17 5 1
a 11 25 1
a 25 11 1
a 8 6 1
a 6 8 1
a 13 12 1
a 12 13 1
a 29 9 1
a 9 29 1
a 1 2 1
a 2 1 1
a 5 27 1
a 27 5 1
a 4 19 1
a 19 4 1
a 6 28 1
a 28 6 1
a 5 22 1
a 22 5 1
a 8 9 1
a 9 8 1
a 21 4 1
a 4 21 1
a 26 6 1
a 6 26 1
a 4 12 1
a 12 4 1
a 9 10 1
a 10 9 1
a 10 5 1
a 5 10 1
a 4 18 1
a 18 4 1
a 14 4 1
a 4 14 1
a 27 9 1
a 9 27 1
a 9 7 1
a 7 9 1
a 5 2 1
a 2 5 1
a 11 10 1
a 10 11 1
a 9 26 1
a 26 9 1
a 7 5 1
a 5 7 1
a 5 29 1
a 29 5 1
a 12 5 1
a 5 12 1
a 1 6 1
a 6 1 1
a 4 6 1
a 6 4 1
a 6 11 1
a 11 6 1
a 5 18 1
a 18 5 1
a 8 5 1
a 5 8 1
a 15 4 1
a 4 15 1
a 1 3 1
a 3 1 1
a 5 9 1
a 9 5 1
a 4 1 1
a 1 4 1
a 5 28 1
a 28 5 1
a 4 22 1
a 22 4 1
a 6 27 1
a 27 6 1
a 5 23 1
a 23 5 1
a 12 15 1
a 15 12 1
a 26 5 1
a 5 26 1
a 15 24 1
a 24 15 1
a 12 14 1
a 14 12 1
a 5 3 1
a 3 5 1
a 7 6 1
a 6 7 1
a 4 5 1
a 5 4 1
a 24 5 1
a 5 24 1
a 6 10 1
a 10 6 1
a 13 17 1
a 17 13 1
a 16 6 1
a 6 16 1
a 16 3 1
a 3 16 1
c
c End of file
